name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
16_17,1.25984,1.8613099999999998,-0.08900000000000001,0.086,0.08,0.547,-0.599,-7.221,29.64,41.05,-11.41,14.54,15.11,11.4,22.81,6.83,1,7.71,14.54
8_19,1.28716,1.8009,-0.14,0.11900000000000001,0.16,0.631,-0.5329999999999999,-7.976,30.58,26.02,4.55,14.12,16.46,24.22,24.22,6.36,1,7.76,14.12
18_19,1.18824,1.8575099999999998,-0.105,0.09,0.08900000000000001,0.547,-0.595,-7.511,30.79,41.15,-10.36,14.4,16.39,14.84,25.19,5.6,1,8.81,14.4
19_4,1.16975,1.8696599999999999,0.348,0.005,0.079,0.47700000000000004,-0.569,-8.086,22.05,30.74,-8.69,-4.31,26.36,9.82,18.5,3.55,1,-7.86,3.55
19_8,1.23926,1.85916,0.009000000000000001,0.091,0.188,0.537,-0.529,-8.665,33.71,35.42,-1.71,-3.02,36.73,27.6,29.31,4.4,1,-7.42,4.4
5_10,1.30007,1.7823200000000001,-0.154,0.102,0.135,0.534,-0.542,-7.7570000000000014,35.76,35.6,0.16,14.5,21.26,17.7,17.7,18.07,1,-3.57,18.07
20_14,1.00176,1.7892599999999999,0.226,0.037000000000000005,0.069,0.5,-0.595,-7.702000000000001,16.74,27.61,-10.87,9.09,7.65,12.57,23.45,-6.71,1,15.79,9.09
4_15,1.3280299999999998,1.79772,0.006999999999999999,0.073,0.08800000000000001,0.883,-0.597,-8.138,8.32,11.51,-3.18,7.5,0.82,13.2,16.39,-8.06,1,15.57,7.5
18_22,1.24367,1.84995,-0.11599999999999999,0.083,0.07400000000000001,0.5489999999999999,-0.5710000000000001,-7.564,32.62,41.18,-8.56,15.47,17.16,13.77,22.33,10.3,1,5.17,15.47
18_9,1.26158,1.83808,-0.217,0.11199999999999999,0.154,0.565,-0.565,-8.616,34.38,37.16,-2.77,9.14,25.24,25.03,27.8,6.58,1,2.56,9.14
19_18,1.26662,1.8506200000000002,-0.094,0.09,0.092,0.546,-0.583,-7.419,32.45,42.3,-9.84,16.99,15.46,14.71,24.55,7.9,1,9.09,16.99
16_18,1.27163,1.8485599999999998,-0.09300000000000001,0.08900000000000001,0.08800000000000001,0.55,-0.596,-7.364,32.83,42.26,-9.43,15.19,17.63,13.92,23.36,9.47,1,5.72,15.19
5_12,1.26993,1.7629,0.19399999999999998,0.052000000000000005,0.11900000000000001,0.485,-0.54,-8.16,15.38,18.01,-2.63,8.05,7.33,11.21,13.84,1.54,1,6.51,8.05
5_22,1.30518,1.75908,-0.14300000000000002,0.102,0.141,0.5489999999999999,-0.508,-7.796,31.63,33.62,-1.99,10.76,20.87,14.58,16.56,15.07,1,-4.31,15.07
19_20,1.25563,1.8516400000000002,-0.09,0.084,0.071,0.542,-0.586,-6.9239999999999995,28.81,39.97,-11.16,18.57,10.23,12.56,23.72,5.09,1,13.49,18.57
22_2,1.27863,1.8798099999999998,-0.10400000000000001,0.1,0.051,0.505,-0.621,-7.5539999999999985,32.56,42.88,-10.32,16.08,16.48,8.02,18.34,14.22,1,1.86,16.08
4_8,1.36236,1.7830099999999998,-0.047,0.102,0.22399999999999998,0.902,-0.542,-9.61,35.94,28.65,7.29,-11.69,47.63,33.35,33.35,2.6,1,-14.28,2.6
22_10,1.28808,1.8791,-0.131,0.114,0.086,0.522,-0.609,-7.322999999999999,35.21,41.64,-6.43,18.91,16.3,12.96,19.39,15.81,1,3.09,18.91
8_13,1.16339,1.71765,0.18899999999999997,0.075,0.16399999999999998,0.586,-0.523,-8.171,17.0,11.86,5.14,9.4,7.6,14.31,14.31,2.7,1,6.7,9.4
15_6,1.33134,1.84095,-0.217,0.034,0.045,0.669,-0.6579999999999999,-7.652,26.91,39.33,-12.41,2.27,24.64,11.76,24.18,2.74,1,-0.46,2.74
22_18,1.28932,1.85487,-0.099,0.113,0.106,0.524,-0.61,-7.3329999999999975,30.16,38.96,-8.81,16.9,13.25,9.02,17.83,12.33,1,4.58,16.9
6_22,1.30577,1.73758,-0.14300000000000002,0.10300000000000001,0.147,0.512,-0.4970000000000001,-7.83,31.79,32.83,-1.04,13.31,18.48,15.2,16.24,15.55,1,-2.24,15.55
12_8,1.34647,1.8154700000000001,-0.01,0.1,0.19,0.812,-0.595,-9.173,33.76,27.26,6.5,-5.4,39.16,25.66,25.66,8.1,1,-13.5,8.1
5_9,1.3695,1.78253,-0.23800000000000002,0.12,0.204,0.5329999999999999,-0.516,-9.062999999999999,35.9,31.35,4.55,-7.12,43.02,29.04,29.04,6.86,1,-13.98,6.86
16_10,1.24298,1.8759,-0.124,0.091,0.076,0.546,-0.599,-7.388,34.73,45.36,-10.63,16.56,18.17,14.1,24.73,10.0,1,6.57,16.56
11_6,1.3477299999999999,1.84615,-0.21100000000000002,0.059000000000000004,0.115,0.461,-0.555,-8.074,29.28,37.7,-8.43,1.36,27.91,12.57,21.0,8.28,1,-6.92,8.28
16_19,1.21991,1.86263,-0.105,0.08900000000000001,0.083,0.5479999999999999,-0.599,-7.466,30.83,41.53,-10.7,14.7,16.14,17.75,28.45,2.38,1,12.32,14.7
18_11,1.23066,1.84533,-0.165,0.10099999999999999,0.11,0.555,-0.5770000000000001,-7.803,29.18,36.64,-7.46,11.55,17.63,16.88,24.34,4.84,1,6.7,11.55
18_4,1.25613,1.8528200000000001,0.358,0.003,0.07200000000000001,0.47600000000000003,-0.581,-8.073,15.51,27.31,-11.81,-8.93,24.44,8.87,20.68,-5.17,1,-3.76,-5.17
20_16,1.2573299999999998,1.85283,-0.09300000000000001,0.084,0.065,0.545,-0.601,-7.2,31.48,42.6,-11.12,14.98,16.5,13.01,24.13,7.35,1,7.63,14.98
11_8,1.33045,1.85922,0.02,0.09699999999999999,0.20600000000000002,0.48,-0.515,-9.297,33.6,36.63,-3.03,-4.1,37.7,27.8,30.84,2.76,1,-6.86,2.76
6_13,1.11887,1.68393,0.18899999999999997,0.055999999999999994,0.14,0.441,-0.523,-8.107000000000001,16.81,17.06,-0.24,8.96,7.85,12.66,12.9,3.91,1,5.05,8.96
10_15,1.24102,1.8765900000000002,0.092,0.046,0.04,0.49,-0.613,-7.346,7.94,24.93,-17.0,8.62,-0.69,12.08,29.07,-21.13,1,29.76,8.62
20_5,1.28453,1.8425099999999999,-0.133,0.047,0.086,0.519,-0.5870000000000001,-7.7360000000000015,28.8,38.37,-9.57,5.87,22.94,14.25,23.82,4.99,1,0.88,5.87
18_16,1.24499,1.85435,-0.095,0.086,0.078,0.545,-0.5920000000000001,-7.31,31.15,40.98,-9.83,15.99,15.16,13.04,22.87,8.28,1,7.71,15.99
1_20,1.26947,1.84736,-0.105,0.08900000000000001,0.078,0.365,-0.602,-6.896,27.75,44.46,-16.71,12.59,15.16,11.42,28.13,-0.38,1,12.96,12.59
17_17,1.2704600000000001,1.85685,-0.09300000000000001,0.083,0.07400000000000001,0.546,-0.596,-7.255,31.21,41.42,-10.21,15.53,15.68,13.44,23.65,7.55,1,7.97,15.53
22_12,1.26537,1.86572,0.225,0.06,0.069,0.47200000000000003,-0.607,-7.624,16.34,28.12,-11.78,11.74,4.6,8.84,20.62,-4.28,1,16.02,11.74
19_16,1.21716,1.8650400000000005,-0.091,0.08900000000000001,0.08800000000000001,0.545,-0.586,-7.307,31.44,42.02,-10.58,17.67,13.77,12.56,23.14,8.3,1,9.37,17.67
17_20,1.27064,1.84832,-0.09,0.081,0.063,0.5429999999999999,-0.598,-6.91,29.23,41.04,-11.81,18.14,11.09,16.44,28.24,0.98,1,17.15,18.14
5_16,1.29818,1.7726400000000002,-0.122,0.102,0.13699999999999998,0.539,-0.542,-7.564,29.82,32.59,-2.77,13.2,16.61,13.67,16.44,13.37,1,-0.17,13.37
6_17,1.29836,1.75353,-0.121,0.102,0.142,0.495,-0.534,-7.5539999999999985,28.61,30.03,-1.42,15.52,13.08,14.98,16.4,12.2,1,3.32,15.52
17_4,1.21841,1.86043,0.349,0.003,0.07400000000000001,0.479,-0.5820000000000001,-8.05,19.71,27.43,-7.72,-3.61,23.32,12.08,19.8,-0.09,1,-3.52,-0.09
14_17,1.3009700000000002,1.8294599999999999,-0.11900000000000001,0.094,0.091,0.826,-0.623,-7.276,28.18,32.87,-4.68,8.14,20.04,9.23,13.91,14.27,1,-6.13,14.27
8_9,1.37494,1.8025200000000001,-0.242,0.135,0.225,0.6509999999999999,-0.4970000000000001,-9.249,38.3,25.46,12.84,-7.45,45.75,35.34,35.34,2.96,1,-10.41,2.96
3_11,1.3083,1.8778700000000002,-0.165,0.098,0.087,0.581,-0.5820000000000001,-7.706,29.96,35.22,-5.26,15.84,14.13,16.05,21.3,8.66,1,7.18,15.84
8_20,1.29492,1.79255,-0.11800000000000001,0.11699999999999999,0.155,0.627,-0.539,-7.226,24.23,24.1,0.13,16.63,7.6,14.76,14.76,9.47,1,7.16,16.63
12_2,1.29096,1.7923200000000001,-0.126,0.083,0.028999999999999998,0.809,-0.652,-7.6179999999999986,32.91,37.16,-4.25,5.29,27.62,8.08,12.33,20.58,1,-15.29,20.58
1_5,1.34307,1.5869799999999998,-0.161,0.055,0.10099999999999999,0.34600000000000003,-0.58,-8.046,27.56,40.29,-12.73,5.05,22.52,11.41,24.14,3.43,1,1.62,5.05
19_12,1.13723,1.86443,0.231,0.037000000000000005,0.064,0.494,-0.586,-7.7639999999999985,16.01,28.94,-12.92,11.33,4.68,9.66,22.58,-6.57,1,17.9,11.33
13_4,1.28562,1.7980900000000002,0.322,0.009000000000000001,0.077,0.759,-0.606,-8.152999999999999,17.9,21.78,-3.87,-5.21,23.11,7.9,11.77,6.13,1,-11.34,6.13
2_15,1.30437,1.73717,0.051,0.079,0.053,0.534,-0.631,-7.644,9.88,28.15,-18.27,8.95,0.94,13.05,31.32,-21.43,1,30.38,8.95
6_18,1.30061,1.74512,-0.124,0.10400000000000001,0.14800000000000002,0.495,-0.532,-7.716,31.97,31.53,0.43,15.95,16.01,17.33,17.33,14.64,1,1.31,15.95
6_9,1.36905,1.76551,-0.237,0.121,0.20800000000000002,0.486,-0.508,-9.079,36.4,31.38,5.01,2.05,34.34,29.92,29.92,6.47,1,-4.42,6.47
1_22,1.27863,1.8648099999999999,-0.129,0.091,0.09,0.369,-0.57,-7.508999999999999,30.97,47.24,-16.27,11.5,19.48,11.48,27.75,3.23,1,8.27,11.5
2_6,1.34601,1.8589799999999999,-0.218,0.051,0.084,0.531,-0.593,-7.892,27.77,38.7,-10.93,2.24,25.53,10.93,21.86,5.9,1,-3.67,5.9
17_7,1.29924,1.85445,-0.225,0.08900000000000001,0.11599999999999999,0.546,-0.584,-8.585,37.49,43.43,-5.94,6.58,30.9,23.65,29.6,7.89,1,-1.31,7.89
16_22,1.27519,1.85569,-0.115,0.08199999999999999,0.068,0.55,-0.574,-7.504,32.39,41.98,-9.59,15.4,16.99,13.18,22.77,9.62,1,5.79,15.4
13_6,1.3754600000000001,1.82235,-0.249,0.06,0.099,0.8009999999999999,-0.607,-7.9910000000000005,26.88,29.46,-2.58,-3.0,29.88,9.91,12.49,14.39,1,-17.39,14.39
5_1,1.32021,1.6685299999999998,-0.361,0.096,0.11199999999999999,0.514,-0.541,-8.573,38.69,40.96,-2.27,4.15,34.54,17.37,19.65,19.04,1,-14.9,19.04
15_1,1.26086,1.75853,-0.33799999999999997,0.062,0.005,0.669,-0.677,-7.768,33.8,52.17,-18.37,-3.53,37.33,9.17,27.54,6.26,1,-9.79,6.26
8_16,1.29975,1.80046,-0.12300000000000001,0.12,0.161,0.63,-0.535,-7.722,29.26,27.5,1.75,15.63,13.63,17.93,17.93,11.33,1,4.3,15.63
19_10,1.19529,1.87463,-0.124,0.092,0.08199999999999999,0.544,-0.586,-7.437,34.75,45.21,-10.46,15.88,18.87,14.67,25.13,9.62,1,6.26,15.88
21_7,1.28524,1.8506,-0.22399999999999998,0.09,0.128,0.544,-0.573,-8.842,38.27,42.2,-3.93,6.21,32.06,27.08,31.01,7.26,1,-1.05,7.26
15_7,1.32037,1.8434700000000002,-0.23199999999999998,0.078,0.079,0.6859999999999999,-0.6659999999999999,-8.325,34.67,45.05,-10.38,-1.68,36.35,18.24,28.62,6.04,1,-7.73,6.04
10_2,1.25692,1.8361599999999998,-0.08900000000000001,0.076,0.035,0.501,-0.622,-7.642,33.77,45.02,-11.25,13.88,19.89,10.4,21.65,12.12,1,1.77,13.88
2_19,1.2858100000000001,1.8707200000000002,-0.10400000000000001,0.092,0.08800000000000001,0.5579999999999999,-0.615,-7.305,27.35,44.53,-17.18,11.66,15.68,10.45,27.63,-0.28,1,11.95,11.66
3_17,1.26976,1.8676400000000002,-0.08800000000000001,0.084,0.063,0.574,-0.601,-7.2010000000000005,30.96,38.65,-7.68,21.87,9.09,14.45,22.13,8.83,1,13.04,21.87
14_20,1.29626,1.8327200000000001,-0.11599999999999999,0.092,0.081,0.825,-0.624,-6.888,30.3,33.09,-2.79,12.64,17.66,12.76,15.55,14.75,1,-2.11,14.75
18_6,1.27019,1.84285,-0.215,0.052000000000000005,0.09699999999999999,0.521,-0.5760000000000001,-7.96,30.47,37.59,-7.12,6.68,23.79,15.74,22.86,7.6,1,-0.92,7.6
21_11,1.25945,1.8528200000000001,-0.163,0.10099999999999999,0.11699999999999999,0.552,-0.5720000000000001,-7.886,29.54,35.9,-6.37,11.81,17.73,17.71,24.08,5.45,1,6.35,11.81
22_1,1.30881,1.88611,-0.33899999999999997,0.099,0.061,0.499,-0.611,-7.947999999999999,38.11,44.97,-6.87,11.0,27.11,12.67,19.53,18.58,1,-7.58,18.58
1_15,1.30705,1.60712,0.036000000000000004,0.079,0.073,0.34700000000000003,-0.622,-7.776,8.58,28.84,-20.26,7.31,1.27,12.61,32.87,-24.29,1,31.6,7.31
15_20,1.27114,1.79598,-0.09,0.063,0.015,0.6920000000000001,-0.6709999999999999,-6.671,31.09,46.41,-15.32,9.66,21.43,11.26,26.58,4.51,1,5.14,9.66
10_6,1.34102,1.8743299999999998,-0.20800000000000002,0.05,0.08900000000000001,0.491,-0.593,-7.903,29.56,33.82,-4.27,9.35,20.21,11.95,16.21,13.34,1,-4.0,13.34
19_2,1.17572,1.87548,-0.09,0.075,0.038,0.529,-0.593,-7.706,33.64,46.41,-12.77,15.03,18.61,9.54,22.31,11.33,1,3.7,15.03
11_7,1.33446,1.8494,-0.213,0.096,0.138,0.486,-0.555,-8.888,37.73,44.68,-6.95,-1.82,39.55,26.05,32.99,4.74,1,-6.56,4.74
7_21,1.28903,1.8586799999999999,-0.10800000000000001,0.094,0.151,0.451,-0.552,-7.959,33.5,30.89,2.61,18.14,15.36,21.47,21.47,12.03,1,6.11,18.14
9_12,1.2435200000000002,1.83198,0.244,0.047,0.131,0.401,-0.547,-8.253,14.68,22.0,-7.32,9.19,5.48,12.36,19.69,-5.01,1,14.2,9.19
2_3,1.25833,1.8799599999999999,-0.08800000000000001,0.076,0.026000000000000002,0.547,-0.626,-7.615,30.53,48.22,-17.69,6.92,23.62,14.77,32.46,-1.92,1,8.84,6.92
10_1,1.2878399999999999,1.74783,-0.32299999999999995,0.076,0.047,0.4920000000000001,-0.615,-8.042,36.3,47.02,-10.72,10.95,25.35,9.88,20.6,15.71,1,-4.76,15.71
16_1,1.25601,1.8840700000000001,-0.33,0.077,0.049,0.522,-0.602,-8.044,37.08,49.34,-12.26,9.79,27.3,10.86,23.12,13.97,1,-4.18,13.97
8_8,1.36179,1.78952,-0.024,0.11,0.253,0.627,-0.469,-9.804,38.57,24.36,14.21,-15.46,54.03,40.72,40.72,-2.15,0,-13.31,-2.15
13_18,1.30374,1.8325200000000001,-0.122,0.098,0.098,0.828,-0.622,-7.407999999999999,31.97,35.15,-3.19,7.71,24.25,11.18,14.37,17.6,1,-9.89,17.6
13_21,1.30675,1.8325200000000001,-0.125,0.10099999999999999,0.11800000000000001,0.831,-0.618,-7.666,34.1,35.22,-1.12,7.89,26.21,11.88,13.0,21.1,1,-13.21,21.1
20_15,1.17474,1.8576400000000002,0.081,0.05,0.037000000000000005,0.521,-0.607,-7.357,8.51,27.28,-18.77,8.76,-0.25,12.36,31.13,-22.62,1,31.38,8.76
14_14,1.02509,1.79485,0.19399999999999998,0.047,0.084,0.78,-0.611,-7.891,17.74,21.21,-3.47,1.14,16.6,9.85,13.32,4.42,1,-3.28,4.42
7_18,1.28447,1.84893,-0.10300000000000001,0.092,0.135,0.447,-0.5579999999999999,-7.684,29.82,30.15,-0.33,19.66,10.16,17.63,17.96,11.86,1,7.8,19.66
7_1,1.30261,1.7362099999999998,-0.34299999999999997,0.083,0.099,0.42200000000000004,-0.562,-8.519,39.54,38.16,1.38,13.06,26.48,18.75,18.75,20.79,1,-7.73,20.79
15_9,1.32397,1.8471099999999998,-0.222,0.098,0.11800000000000001,0.7020000000000001,-0.654,-8.331,31.53,41.4,-9.86,1.01,30.52,19.61,29.47,2.06,1,-1.05,2.06
20_12,1.1901899999999999,1.8410400000000002,0.233,0.034,0.05,0.496,-0.606,-7.566,14.61,28.88,-14.27,8.36,6.25,11.25,25.52,-10.91,1,19.27,8.36
6_11,1.33594,1.7600200000000001,-0.19,0.114,0.16399999999999998,0.493,-0.518,-8.162,29.95,28.15,1.8,9.36,20.59,18.93,18.93,11.02,1,-1.66,11.02
2_10,1.2748,1.8623900000000002,-0.13,0.091,0.069,0.556,-0.613,-7.374,33.41,46.88,-13.47,14.32,19.09,10.62,24.09,9.32,1,5.0,14.32
9_1,1.29231,1.6580400000000002,-0.316,0.08900000000000001,0.11699999999999999,0.43,-0.546,-8.635,41.37,46.87,-5.5,4.78,36.59,19.83,25.34,16.03,1,-11.25,16.03
6_5,1.36828,1.7641799999999999,-0.17600000000000002,0.065,0.16,0.456,-0.518,-8.433,29.07,27.4,1.68,3.7,25.37,14.71,14.71,14.37,1,-10.66,14.37
4_19,1.32168,1.8068799999999998,-0.158,0.10400000000000001,0.128,0.912,-0.595,-7.572999999999999,28.6,31.6,-3.0,5.63,22.97,16.2,19.19,9.41,1,-3.78,9.41
5_19,1.31069,1.77676,-0.128,0.10300000000000001,0.151,0.5379999999999999,-0.544,-7.632999999999999,28.08,32.34,-4.25,11.44,16.64,17.82,22.07,6.01,1,5.43,11.44
15_18,1.2783,1.7939599999999998,-0.096,0.071,0.037000000000000005,0.6940000000000001,-0.67,-7.138999999999999,34.21,47.21,-13.0,8.75,25.46,12.23,25.24,8.97,1,-0.22,8.97
20_3,1.2075200000000001,1.85687,-0.08199999999999999,0.07400000000000001,0.027000000000000003,0.537,-0.616,-7.5139999999999985,32.34,46.85,-14.51,14.96,17.38,18.13,32.64,-0.3,1,15.26,14.96
4_10,1.31009,1.77427,-0.183,0.10300000000000001,0.114,0.9079999999999999,-0.595,-7.6960000000000015,34.5,35.18,-0.68,7.44,27.06,15.27,15.95,18.55,1,-11.11,18.55
21_6,1.2953,1.8501299999999998,-0.21600000000000005,0.052000000000000005,0.10400000000000001,0.518,-0.5710000000000001,-8.051,31.12,36.92,-5.81,7.43,23.69,16.35,22.15,8.96,1,-1.53,8.96
13_7,1.36065,1.82198,-0.253,0.099,0.129,0.823,-0.61,-8.502,36.22,34.38,1.83,-6.49,42.7,22.9,22.9,13.32,1,-19.8,13.32
14_21,1.30716,1.83125,-0.126,0.10099999999999999,0.12,0.831,-0.617,-7.685,35.47,34.98,0.49,7.55,27.91,14.84,14.84,20.63,1,-13.08,20.63
20_9,1.29114,1.8363200000000002,-0.21600000000000005,0.10800000000000001,0.145,0.563,-0.5770000000000001,-7.9179999999999975,33.41,38.39,-4.99,9.33,24.08,22.75,27.74,5.67,1,3.65,9.33
7_9,1.35743,1.8628,-0.228,0.111,0.196,0.466,-0.523,-9.061,35.84,27.84,8.0,-5.21,41.05,31.09,31.09,4.75,1,-9.96,4.75
9_15,1.28639,1.8599400000000001,0.086,0.068,0.11800000000000001,0.429,-0.551,-8.238999999999999,6.28,17.27,-10.99,7.22,-0.94,15.53,26.53,-20.25,1,27.47,7.22
19_21,1.24655,1.85722,-0.09699999999999999,0.094,0.113,0.551,-0.578,-7.662000000000001,34.67,42.77,-8.1,16.87,17.81,17.63,25.73,8.95,1,7.92,16.87
12_3,1.28528,1.8437700000000001,-0.113,0.08199999999999999,0.027000000000000003,0.818,-0.653,-7.609,31.41,35.97,-4.57,7.68,23.73,13.49,18.06,13.35,1,-5.67,13.35
19_17,1.21773,1.86238,-0.08900000000000001,0.08800000000000001,0.08800000000000001,0.545,-0.5870000000000001,-7.282999999999999,30.29,39.75,-9.46,19.0,11.29,12.09,21.55,8.73,1,10.27,19.0
6_20,1.28265,1.74344,-0.125,0.09699999999999999,0.128,0.494,-0.5329999999999999,-7.2120000000000015,27.74,28.61,-0.87,17.17,10.56,15.95,16.82,10.92,1,6.26,17.17
15_17,1.2744799999999998,1.81515,-0.09300000000000001,0.067,0.026000000000000002,0.693,-0.67,-7.005,32.67,47.05,-14.38,8.44,24.23,11.98,26.36,6.3,1,2.13,8.44
9_19,1.25945,1.84675,-0.08800000000000001,0.098,0.146,0.452,-0.545,-7.8260000000000005,29.57,34.81,-5.25,14.54,15.02,22.0,27.25,2.32,1,12.23,14.54
1_6,1.35103,1.74616,-0.24100000000000002,0.057999999999999996,0.099,0.348,-0.579,-7.985,29.08,41.0,-11.92,4.1,24.98,11.66,23.57,5.5,1,-1.4,5.5
15_10,1.25718,1.85648,-0.128,0.075,0.034,0.6920000000000001,-0.675,-7.17,34.7,49.96,-15.26,4.07,30.63,11.62,26.88,7.82,1,-3.76,7.82
21_3,1.20738,1.86244,-0.083,0.077,0.049,0.534,-0.602,-7.795,31.79,43.87,-12.08,14.68,17.11,19.58,31.66,0.13,1,14.55,14.68
17_10,1.24375,1.8706,-0.12300000000000001,0.09,0.077,0.545,-0.6,-7.407999999999999,34.46,45.59,-11.13,15.63,18.83,14.59,25.72,8.75,1,6.88,15.63
21_21,1.26735,1.8550799999999998,-0.09699999999999999,0.092,0.11599999999999999,0.55,-0.5820000000000001,-7.731,34.52,41.07,-6.55,15.21,19.3,18.54,25.09,9.43,1,5.79,15.21
6_12,1.27734,1.74757,0.19399999999999998,0.054000000000000006,0.125,0.442,-0.531,-8.19,15.42,17.04,-1.62,9.94,5.48,11.67,13.29,2.12,1,7.81,9.94
